PROCEDURE_CODE	Q12012	Q22012	Q32012	Q42012	Q12013	Q22013	Q32013	Q42013	Q12014	Q22014
A6533	3190	3407	3383	3301	3049	3386	3286	3294	2873	3456
E0371	0	0	0	361	369	321	294	239	281	373
A7028	0	0	0	2743	2763	2829	2652	2769	2750	2713
E0652	1598	1600	1563	1639	1500	1674	750	786	560	700
K0069	0	0	0	353	463	432	362	404	339	425
K0815	0	0	0	91	71	101	121	157	206	263
K0848	964	1017	887	0	0	0	0	0	0	0
A6243	215	197	223	171	169	241	231	190	143	150
K0813	0	0	0	130	106	88	70	45	45	42
E1225	0	0	0	1388	1450	1352	1392	1460	1496	1460
L3670	17521	15649	15344	16428	18631	17828	17505	18555	22040	20440
K0821	0	0	0	227	186	226	648	1763	2514	3012
L1832	16844	20873	23246	23829	24548	28128	29008	31600	18291	17357
Q4022	18	17	5	2	1	2	0	1	0	3
E0272	0	0	0	1200	1417	1129	950	916	842	819
A9277	331	391	398	491	496	505	596	765	743	750
E0607	170732	177458	157905	0	0	0	0	0	0	0
A4604	0	0	0	56688	61930	69982	69204	83274	86869	96585
E0271	0	0	0	4148	5202	4537	3923	3834	3827	3906
E0912	0	0	0	4182	4298	4140	3924	3651	3460	3158
L0627	16881	17419	18001	18992	16107	16530	17632	20567	12584	11998
E1007	1932	2164	1971	0	0	0	0	0	0	0
S9342	4	2	2	0	0	0	0	0	0	0
L0637	19826	21875	22813	23722	24355	25806	25440	24527	18774	17384
A6242	1843	1654	1484	1349	1249	1347	1357	1328	1105	1455
