SL_NAME	CODE_GROUP_NAME	CODE_GROUP_SET
Other_Dermatology_Procedures	Other_Dermatology_Procedures_px	Other_Dermatology_Procedures__Photochemotherapy_Skin_Procedures,Other_Dermatology_Procedures__Skin_Laser_Treatment,Other_Dermatology_Procedures__Special_Dermatological_Procedures,Other_Dermatology_Procedures__Surgical_Procedures_Skin_Subcutaneous_Structures,Other_Dermatology_Procedures__Surgical_Procedures_Skin_Subcutaneous_Structures_Add_On
Other_Gastro_Procedure	Other_Gastro_Procedure_px	Other_Gastro_Procedure__Bypass_Procedures_on_the_Intestines_Large_Bowel,Other_Gastro_Procedure__Bypass_Procedures_on_the_Intestines_Small_Bowel,Other_Gastro_Procedure__Control_of_Bleeding_on_the_Gastrointestinal_Tract,Other_Gastro_Procedure__Gastroenterology_Procedures,Other_Gastro_Procedure__Gastrointestinal_manometric_and_reflux_testing,Other_Gastro_Procedure__Gastrointestinal_manometric_and_reflux_testing_Add_On,Other_Gastro_Procedure__Gastrointestinal_Tract_Imaging_Capsule_Endoscopye,Other_Gastro_Procedure__Other_Procedures_on_the_Digestive_System,Other_Gastro_Procedure__Other_Procedures_on_the_Digestive_System_Add_On,Other_Gastro_Procedure__Proctosigmoidoscopy,Other_Gastro_Procedure__Reattatchment_Procedures_of_the_Intestines_Except_Rectum,Other_Gastro_Procedure__Repair_of_the_Intestines_Except_Rectum,Other_Gastro_Procedure__Sigmoidoscopy_Procedures
Other_Urological_Procedures	Other_Urological_Procedures_px	Other_Urological_Procedures__Intersex_Surgery,Other_Urological_Procedures__Nephrectomy,Other_Urological_Procedures__Other_Procedures_on_the_Urinary_System,Other_Urological_Procedures__Other_Procedures_on_the_Urinary_System_Add_On,Other_Urological_Procedures__Other_Surgical_Procedures_on_the_Scrotum_and_Tunica_Vaginalis,Other_Urological_Procedures__Procedures_for_Kidney_Stones_non_lithotripsy,Other_Urological_Procedures__Surgical_Procedures_on_the_Epididymis,Other_Urological_Procedures__Surgical_Procedures_on_the_Genitourinary_Tract_Unspecified_Site,Other_Urological_Procedures__Surgical_Procedures_on_the_Kidney_Other,Other_Urological_Procedures__Surgical_Procedures_on_the_Penis_Other,Other_Urological_Procedures__Surgical_Procedures_on_the_Prepuce,Other_Urological_Procedures__Surgical_Procedures_on_the_Prostate_Other;_Surgeries,Other_Urological_Procedures__Surgical_Procedures_on_the_Testis,Other_Urological_Procedures__Surgical_Procedure_on_the_Scrotum,Other_Urological_Procedures__Surgical_Procedure_on_the_Seminal_Vesicles,Other_Urological_Procedures__Surgical_Procedure_on_the_Spermatic_Cord,Other_Urological_Procedures__Surgical_Procedure_on_the_Tunica_Vaginalis,Other_Urological_Procedures__Surgical_Procedure_on_the_Vas_Deferens
Otolaryngology	Otolaryngology_px	Otolaryngology__Flexible_Fiberoptic_Endoscopic_Evaluation,Otolaryngology__Myringotomy_and_tympanostomy_procedures,Otolaryngology__Other_Procedures_on_the_Auditory_System,Otolaryngology__Other_Procedures_on_the_Hyoid,Otolaryngology__Other_Procedures_on_the_Nasopharnyx,Otolaryngology__Other_Procedures_on_the_Nose,Otolaryngology__Palatopharyngoplasty_Procedures,Otolaryngology__Palatoplasty,Otolaryngology__Repair_of_cleft_lip_or_nasal_deformity,Otolaryngology__Rhinoplasty,Otolaryngology__Special_Otorhinolaryngologic_Services,Otolaryngology__Special_Otorhinolaryngologic_Services_Add_On,Otolaryngology__Surgical_Procedures_on_the_Coccygeal_Glomus,Otolaryngology__Surgical_Procedures_on_the_Epiglottis,Otolaryngology__Surgical_Procedures_on_the_Glomus_Jugulare,Otolaryngology__Surgical_Procedures_on_the_Larynx_or_Vocal_Cord,Otolaryngology__Surgical_Procedures_on_the_Lips_Other,Otolaryngology__Surgical_Procedures_on_the_Palate_and_Uvula_Other;_Surgeries,Otolaryngology__Surgical_Procedures_on_the_Paraganglion_Extremity,Otolaryngology__Surgical_Procedures_on_the_Salivary_Gland_and_Ducts,Otolaryngology__Surgical_procedures_on_the_sinuses,Otolaryngology__Surgical_Procedures_on_the_Temporal_Bone_using_the_Middle_Fossa_Approach,Otolaryngology__Surgical_Procedures_on_the_Tongue_and_Floor_of_the_Mouth_Surgeries,Otolaryngology__Surgical_Procedures_on_the_Tongue_Palate_and_or_Pharynx;_Soft_Tissue,Otolaryngology__Surgical_Procedures_on_the_Vestibule_of_the_Mouth_Surgeries,Otolaryngology__Surgical_Procedures_Using_Operating_Microscope_Add_On,Otolaryngology__Thyroidectomy_partial_or_complete,Otolaryngology__Tonsillectomy_or_adenoidectomy,Otolaryngology__Tympanoplasty
Pain_Management	Pain_Management_px	Pain_Management__Pain_Management_Procedures
PET_Study	PET_Study_px	PET_Study__Other_PET_SPECT_or_Tomographic_Tomo_Imaging
Physiatry	Physiatry_px	Physiatry__Physical_medicine_and_rehabilitation,Physiatry__Physical_Medicine_and_Rehabilitation_Modalities,Physiatry__Physical_Medicine_and_Rehabilitation_Modalities_Add_On,Physiatry__Physical_Medicine_and_Rehabilitation_Orthotic_and_Prosthetic_Management_and_Trainning,Physiatry__Physical_Medicine_and_Rehabilitation_Tests_and_Measurements
Post_Acute	Post_Acute_px	Post_Acute__Home_health_services,Post_Acute__Home_infusion,Post_Acute__Home_infusion_Add_On,Post_Acute__Hospice_Care,Post_Acute__Medical_home_services,Post_Acute__Occupational_therapy_OT_evaluation,Post_Acute__Patient_encounter_skilled_nursing_facility_SNF,Post_Acute__Physical_Therapy_Evaluation
Pulmonology	Pulmonology_px	Pulmonology__Broncoscopy,Pulmonology__CPAP_initiation_and_management,Pulmonology__Endoscopy_of_the_Trachea_and_Bronchi,Pulmonology__Endoscopy_of_the_Trachea_and_Bronchi_Add_On,Pulmonology__Inhalation_Treatment_for_Acute_Airway_Obstruction_or_for_Sputum_Induction_for_Diagnostic_Purposes,Pulmonology__Inhalation_Treatment_for_Acute_Airway_Obstruction_or_for_Sputum_Induction_for_Diagnostic_Purposes_Add_On,Pulmonology__Intrapulmonary_Surfactant_Administration,Pulmonology__Noninvasive_ear_pulse_oximetry_for_O2_saturation,Pulmonology__Other_Procedures_on_the_Respiratory_System_and_Pericardium_Add_On,Pulmonology__Other_Respiratory_Procedures,Pulmonology__Pediatric_Home_Apnea_Monitoring_tests,Pulmonology__Pulmonary_function_tests,Pulmonology__Pulmonary_function_tests_Add_On,Pulmonology__Pulmonary_Procedures,Pulmonology__Ventilator_Assistance_and_Extracorporeal_Circulatory_and_Respiratory_Support
Radiation_Oncology	Radiation_Oncology_px	Radiation_Oncology__Brachytherapy_Procedures,Radiation_Oncology__External_Beam_Radiation_Therapy_EBRT,Radiation_Oncology__Hyperthermia,Radiation_Oncology__Image_Guided_Radiation_Therapy_IGRT,Radiation_Oncology__Intensity_Modulated_Radiation_Therapy_IMRT,Radiation_Oncology__Intraoperative_Radiation_Therapy_IORT,Radiation_Oncology__Neutron_Beam_Treatment_Delivery,Radiation_Oncology__Other_Radiation_Therapy_Procedures,Radiation_Oncology__Proton_Beam_Radiation_Therapy,Radiation_Oncology__Radiation_Therapy,Radiation_Oncology__Radiopharmaceutical_Localization_Procedures,Radiation_Oncology__Stereotactic_Radiation_Treatment,Radiation_Oncology__Systemic_Radiation_Therapy
Reflectance_Confocal_Microscopy_RCM	Reflectance_Confocal_Microscopy_RCM_px	Reflectance_Confocal_Microscopy_RCM__Reflectance_Confocal_Microscopy_RCM,Reflectance_Confocal_Microscopy_RCM__Reflectance_Confocal_Microscopy_RCM_Add_On
Shoulder	Shoulder_px	Shoulder__Arthroscopy_of_the_shoulder,Shoulder__Arthroscopy_of_the_shoulder_Add_On,Shoulder__Surgical_Procedures_on_the_Shoulder_non_arthroscopic_other,Shoulder__Total_Shoulder_and_Other_Arthroplasty_Procedures,Shoulder__Treatment_of_Fracture_and_or_Dislocation_of_the_Shoulder
Sleep_and_EEG	Sleep_and_EEG_px	Sleep_and_EEG__Sleep_and_EEG_testing,Sleep_and_EEG__Sleep_and_EEG_testing_Add_On
Spine	Spine_px	Spine__Arthrodesis_of_the_spine,Spine__Arthrodesis_of_the_spine_Add_On,Spine__Stem_Cell_Transplantation,Spine__Surgical_Procedures_on_all_levels_of_spine_Emerging_Technology,Spine__Surgical_Procedures_on_all_levels_of_spine_Emerging_Technology_Add_On,Spine__Surgical_Procedures_on_all_levels_of_spine_unrelated_to_artificial_disk_or_joint,Spine__Surgical_Procedures_on_all_levels_of_spine_unrelated_to_artificial_disk_or_joint_Add_On,Spine__Surgical_Procedures_on_the_Musculoskeletal_System_of_the_Abdomen_Back_and_Flank_Add_On,Spine__Total_Disk_Arthroplasty_Artificial_Disk_Cervical_or_Lumbar;_Anterior_Approach,Spine__Total_Disk_Arthroplasty_Artificial_Disk_Cervical_or_Lumbar;_Anterior_Approach_Add_On,Spine__Treatment_of_Fracture_and_or_Dislocation_of_the_Spine_Vertebral_Column,Spine__Treatment_of_Fracture_and_or_Dislocation_of_the_Spine_Vertebral_Column_Add_On
Sports_Medicine	Sports_Medicine_px	Sports_Medicine__Arthroscopy_Procedures_of_the_Hip,Sports_Medicine__Computer_Assisted_Musculoskeletal_Surgical_Navigational_Orthopedic_Procedure,Sports_Medicine__Computer_Assisted_Musculoskeletal_Surgical_Navigational_Orthopedic_Procedure_Add_On,Sports_Medicine__Endoscopy_Arthroscopy_on_the_Musculoskeletal_System_Other,Sports_Medicine__Inspection_Procedure_on_the_Musculoskeletal_System,Sports_Medicine__Other_Procedures_on_the_Musculoskeletal_System,Sports_Medicine__Other_Procedures_on_the_Musculoskeletal_System_Add_On,Sports_Medicine__Removal_of_foreign_body_in_muscle_or_tendon_complicated,Sports_Medicine__Surgical_Procedures_on_the_Musculoskeletal_System_Axillary_Area,Sports_Medicine__Surgical_Procedures_on_the_Musculoskeletal_System_of_the_Femoral_or_Inguinal_Area,Sports_Medicine__Surgical_Procedures_on_the_Musculoskeletal_System_of_the_Femur_Thigh_Region_Add_On,Sports_Medicine__Surgical_Procedures_on_the_Musculoskeletal_System_of_the_Hindquarter_Area,Sports_Medicine__Surgical_Procedures_on_the_Musculoskeletal_System_of_the_Neck_and_Thorax,Sports_Medicine__Surgical_Procedures_on_the_Musculoskeletal_System_of_the_Pelvis_and_Hip_Joint;_Soft_tissue,Sports_Medicine__Surgical_Procedures_on_the_Musculoskeletal_System_of_the_Pelvis_and_Hip_Joint_Bone,Sports_Medicine__Surgical_Procedures_on_the_Musculoskeletal_System_of_the_Pelvis_and_Hip_Joint_Other,Sports_Medicine__Surgical_Procedures_on_the_Pelvis_and_Hip_non_total_hip,Sports_Medicine__Treatment_fracture_or_dislocation_of_hip_femur,Sports_Medicine__Treat_fracture_dislocation_of_LE_not_hip_femur
Surgical_Procedures_on_the_Musculoskeletal_System	Surgical_Procedures_on_the_Musculoskeletal_System_px	Surgical_Procedures_on_the_Musculoskeletal_System__Surgical_Procedures_on_the_Musculoskeletal_System_Chest_Wall,Surgical_Procedures_on_the_Musculoskeletal_System__Surgical_Procedures_on_the_Musculoskeletal_System_Chest_Wall_Add_On,Surgical_Procedures_on_the_Musculoskeletal_System__Surgical_Procedures_on_the_Musculoskeletal_System_of_the_Buttock
Surgical_Procedures_on_the_Thyroid_Gland_Other	Surgical_Procedures_on_the_Thyroid_Gland_Other_px	Surgical_Procedures_on_the_Thyroid_Gland_Other__Surgical_Procedures_on_the_Thyroid_Gland_Other
Thoracic_Surgery	Thoracic_Surgery_px	Thoracic_Surgery__Other_Procedures_on_the_Respiratory_System_and_Pericardium,Thoracic_Surgery__Removal_procedures_on_the_lungs_and_pleura_Add_On,Thoracic_Surgery__Repair_Procedures_on_the_Lungs_Pleura_or_Pericardium,Thoracic_Surgery__Rib_and_Sternum_Repair,Thoracic_Surgery__Surgical_Procedures_on_the_Chest_Wall,Thoracic_Surgery__Surgical_Procedures_on_the_Lungs_and_Pleura_Other,Thoracic_Surgery__Surgical_Procedures_on_the_Pericardium,Thoracic_Surgery__Surgical_Procedures_on_the_Respiratory_Tract_System_Unspecified_Site,Thoracic_Surgery__Thoracic_aortic_aneurysm_repair_Add_On,Thoracic_Surgery__Thoracotomy_or_Thoracostomy_Procedures,Thoracic_Surgery__Video_Assisted_Thoracoscopic_Surgery_VATS,Thoracic_Surgery__Video_Assisted_Thoracoscopic_Surgery_VATS_Add_On
Throat_Procedure	Throat_Procedure_px	Throat_Procedure__Device_Related_Procedures_on_the_Oral_Cavity_and_Throat,Throat_Procedure__Fragmentation_Procedures_on_the_Oral_Cavity_and_Throat,Throat_Procedure__Inspection_Procedures_on_the_Oral_Cavity_and_Throat,Throat_Procedure__Other_Procedures_on_the_Throat,Throat_Procedure__Removal_Revision_or_Other_Procedures_of_Tissue_Substitute_on_the_Oral_Cavity_and_Throat
Transcatheter	Transcatheter_px	Transcatheter__Transcatheter_Closure_of_Paravalvular_Leak,Transcatheter__Transcatheter_Closure_of_Paravalvular_Leak_Add_On,Transcatheter__Transcatheter_Placement_of_intracoronary_Drug_eluting_Stents,Transcatheter__Transcatheter_Placement_of_intracoronary_Drug_eluting_Stents_Add_On,Transcatheter__Transcatheter_Placement_of_intracoronary_Stents,Transcatheter__Transcatheter_Placement_of_Pulmonary_Valve,Transcatheter__Transcatheter_Replacement_of_Aortic_Valve,Transcatheter__Transcatheter_Replacement_of_Aortic_Valve_Add_On
Transplantation	Transplantation_px	Transplantation__Intestinal_Transplantation,Transplantation__Pancreas_Transplantation,Transplantation__Surgical_Procedures_on_the_Endocrine_System_Islet_cell_transplantation
Transurethral_Procedures	Transurethral_Procedures_px	Transurethral_Procedures__Transurethral_Endoscopic_Procedures,Transurethral_Procedures__Transurethral_Endoscopic_Procedures_Add_On,Transurethral_Procedures__Transurethral_resection_of_prostate_TURP
Ultrasound	Ultrasound_px	Ultrasound__Ultrasound_Imaging,Ultrasound__Ultrasound_Imaging_Add_On
Ureter_Procedures	Ureter_Procedures_px	Ureter_Procedures__Surgical_Procedures_on_the_Ureter,Ureter_Procedures__Surgical_Procedures_on_the_Ureter_Add_On,Ureter_Procedures__Surgical_Procedures_on_the_Urethra
Vascular_Surgery	Vascular_Surgery_px	Vascular_Surgery__Abdominal_aortic_aneurysm_repair,Vascular_Surgery__Abdominal_aortic_aneurysm_repair_Add_On,Vascular_Surgery__Angiography,Vascular_Surgery__Dilation_Procedures_on_the_Arteries_and_Veins;_Extremities,Vascular_Surgery__Focused_Ultrasound_Ablation_therapeutic_Intervention_Other_than_Uterine_Leiomyomata,Vascular_Surgery__Other_Procedures_on_the_Cardiovascular_System_Add_On,Vascular_Surgery__Other_Vascular_Procedures,Vascular_Surgery__Peripheral_vascular_bypass,Vascular_Surgery__Peripheral_vascular_bypass_Add_On,Vascular_Surgery__Revision_of_Bypass_Graft_Extremities,Vascular_Surgery__Surgical_Procedures_on_the_Aortic_Body,Vascular_Surgery__Surgical_Procedures_on_the_Arteries_and_Veins_Abdomen,Vascular_Surgery__Surgical_Procedures_on_the_Arteries_and_Veins_Head_and_Neck_bypass_clot_and_plaque_removal,Vascular_Surgery__Surgical_Procedures_on_the_Arteries_and_Veins_Head_and_Neck_bypass_clot_and_plaque_removal_Add_On,Vascular_Surgery__Surgical_Procedures_on_the_Arteries_and_Veins_Other_Add_On,Vascular_Surgery__Surgical_Procedures_on_the_Para_aortic_Body,Vascular_Surgery__Thromboendarterectomy_of_the_peripheral_arteries,Vascular_Surgery__Thromboendarterectomy_of_the_peripheral_arteries_Add_On
Wound_Care	Wound_Care_px	Wound_Care__Active_wound_care,Wound_Care__Active_wound_care_Add_On,Wound_Care__Exploration_of_Penetrating_Wound_on_the_Musculoskeletal_System,Wound_Care__Extracorporeal_Shock_Wave_Therapy_Involving_Musculoskeletal_System_or_Integumentary_Wound_Healing,Wound_Care__Extracorporeal_Shock_Wave_Therapy_Involving_Musculoskeletal_System_or_Integumentary_Wound_Healing_Add_On,Wound_Care__Hyperbaric_Oxygen_Treatment
X_Ray	X_Ray_px	X_Ray__Radiography_X_Ray_Imaging
